species,co_occurrence_ratio,p_value,significant
species_Chamaenerion angustifolium,0.014729950900163666,8.955855796245034e-12,True
species_Parnassius clodius,0.014388489208633094,0.0018966517451250962,True
species_Pipilo chlorurus,0.014388489208633094,0.0018966517451250962,True
species_Streptanthus tortuosus,0.014,5.953849898281801e-10,True
species_Chrysolepis sempervirens,0.012618296529968454,7.416683610325734e-07,True
species_Kelloggia galioides,0.012422360248447204,0.0005563017679938045,True
species_Veratrum californicum,0.012326656394453005,3.9337566513583945e-13,True
species_Prunus emarginata,0.011560693641618497,0.000285174550537473,True
species_Lilium parvum,0.010416666666666666,2.4270245944965285e-10,True
species_Aconitum columbianum,0.010309278350515464,8.864297811019633e-05,True
species_Pyrola picta,0.01020408163265306,9.634788640602473e-07,True
species_Castilleja miniata,0.009708737864077669,4.54773658766782e-05,True
species_Iris missouriensis,0.009259259259259259,0.003965518642748682,True
species_Ceanothus velutinus,0.00881057268722467,1.4145960532301254e-05,True
species_Populus tremuloides,0.008670520231213872,5.376486868560877e-08,True
species_Myriopteris gracillima,0.008620689655172414,0.0025128329648723456,True
species_Bistorta bistortoides,0.008064516129032258,0.001594624867266666,True
species_Abies magnifica,0.00784313725490196,2.9803486784621846e-06,True
species_Wyethia mollis,0.0076726342710997444,4.377390992020877e-09,True
species_Phacelia cicutaria,0.007575757575757576,0.0010131948665088723,True
species_Arctostaphylos nevadensis,0.007407407407407408,1.2934124246289456e-06,True
species_Agastache urticifolia,0.007142857142857143,0.0006444505566597022,True
species_Phyllodoce breweri,0.0070921985815602835,6.630897591964041e-07,True
species_Senecio integerrimus,0.006944444444444444,0.0005141505134534102,True
species_Pedicularis attollens,0.006711409395973154,0.00038778782633005614,True
species_Ipomopsis aggregata,0.006389776357827476,1.1782565520116852e-07,True
species_Cirsium andersonii,0.006006006006006006,3.8589808142344934e-08,True
species_Sidalcea glaucescens,0.005988023952095809,0.00014079984392848508,True
species_Pellaea bridgesii,0.005494505494505495,6.065568520686671e-05,True
species_Spiraea splendens,0.0027247956403269754,1.9289854685063966e-09,True
