Species,Total_Occurrences,VCM_Occurrences,Non_VCM_Occurrences,Percent_in_VCM,VCM_Frequency,Non_VCM_Frequency,Frequency_Ratio,p_value,Preference,adjusted_p_value,significant,VCM_Preference_Strength,abs_preference
species_Limenitis bredowii,293,99,194,33.78839590443686,6.996466431095406,2.831703400963363,2.470762449455393,5.2453853263053514e-12,VCM,3.263795314145552e-11,True,16.6700799112116,16.6700799112116
species_Crotalus oreganus,166,55,111,33.13253012048193,3.8869257950530036,1.6202014304481098,2.399038614586318,4.869564368606727e-07,VCM,1.3807372386935529e-06,True,16.014214127256672,16.014214127256672
species_Sciurus griseus,122,38,84,31.147540983606557,2.685512367491166,1.2260983797985696,2.190291098771664,0.00015203657016862892,VCM,0.00027464670740139416,True,14.029224990381298,14.029224990381298
species_Lupinus stiversii,101,31,70,30.693069306930692,2.1908127208480566,1.0217486498321413,2.1441797072185764,0.0008018789713489377,VCM,0.0012649358421279017,True,13.574753313705433,13.574753313705433
species_Ensatina eschscholtzii,138,42,96,30.434782608695656,2.9681978798586575,1.4012552911983653,2.1182420494699645,0.00010485701239128608,VCM,0.00019252435062006625,True,13.316466615470397,13.316466615470397
species_Dicentra formosa,172,52,120,30.23255813953488,3.674911660777385,1.7515691139979566,2.098068315665489,2.5444138818977315e-05,VCM,5.1346730589647915e-05,True,13.114242146309621,13.114242146309621
species_Chamaebatia foliolosa,553,166,387,30.018083182640144,11.731448763250883,5.6488103926434095,2.076799883127437,1.0207706886545034e-13,VCM,7.145394820581524e-13,True,12.899767189414884,12.899767189414884
species_Ceanothus integerrimus,204,58,146,28.431372549019606,4.098939929328622,2.1310757553641806,1.9234135243719441,5.5732796216406745e-05,VCM,0.0001076219513144406,True,11.313056555794347,11.313056555794347
species_Darmera peltata,151,42,109,27.81456953642384,2.9681978798586575,1.591008611881477,1.8656076765974003,0.001069976481563572,VCM,0.0016529291853120008,True,10.69625354319858,10.69625354319858
species_Erythranthe cardinalis,163,45,118,27.607361963190186,3.180212014134275,1.722376295431324,1.8464095346469422,0.0007990776574304751,VCM,0.0012649358421279017,True,10.489045969964927,10.489045969964927
