Species,Total_Occurrences,VCM_Occurrences,Non_VCM_Occurrences,Percent_in_VCM,VCM_Frequency,Non_VCM_Frequency,Frequency_Ratio,p_value,Preference,adjusted_p_value,significant,VCM_Preference_Strength,abs_preference
species_Lophocampa argentata,64,13,51,20.3125,1.381509032943677,4.204451772464963,0.32858244254130986,0.00012208218457356246,non-VCM,0.000355148173304909,True,-23.373665273909005,23.373665273909005
species_Lupinus stiversii,59,24,35,40.67796610169492,2.5504782146652496,2.8854080791426218,0.8839228783968421,0.6949262604799529,non-VCM,0.7412546778452831,False,-3.008199172214084,3.008199172214084
species_Lysimachia latifolia,154,68,86,44.15584415584416,7.226354941551541,7.089859851607584,1.0192521562909325,0.9353284442261516,VCM,0.9353284442261516,False,0.4696788819351525,0.4696788819351525
species_Maianthemum racemosum,115,24,91,20.869565217391305,2.5504782146652496,7.502061005770816,0.3399703378449393,3.978633590529455e-07,non-VCM,2.1219379149490425e-06,True,-22.8166000565177,22.8166000565177
species_Odocoileus hemionus,132,68,64,51.515151515151516,7.226354941551541,5.276174773289365,1.3696200850159406,0.07900536752300502,VCM,0.11758938422028654,False,7.828986241242511,7.828986241242511
species_Otospermophilus beecheyi,37,5,32,13.513513513513514,0.5313496280552604,2.6380873866446826,0.20141471838469716,0.00016753008150085174,non-VCM,0.00046617066156758746,True,-30.17265176039549,30.17265176039549
species_Papilio eurymedon,89,28,61,31.46067415730337,2.975557917109458,5.028854080791426,0.5916970087629135,0.024287158311525663,non-VCM,0.04441080376964693,True,-12.225491116605635,12.225491116605635
species_Pheucticus melanocephalus,72,27,45,37.5,2.869287991498406,3.709810387469085,0.7734325185972369,0.3420349404944818,non-VCM,0.4378047238329367,False,-6.186165273909005,6.186165273909005
species_Prunella vulgaris,106,47,59,44.339622641509436,4.994686503719448,4.863973619126134,1.0268736828833374,0.9221474170200394,VCM,0.9353284442261516,False,0.6534573676004314,0.6534573676004314
species_Pseudacris regilla,173,99,74,57.22543352601156,10.520722635494154,6.100577081615829,1.724545480656001,0.00039639359774721017,VCM,0.001014767610232858,True,13.539268252102552,13.539268252102552
species_Pteridium aquilinum,157,63,94,40.12738853503185,6.69500531349628,7.749381698268755,0.8639405792841476,0.37750785020622124,non-VCM,0.4676120138270744,False,-3.5587767388771567,3.5587767388771567
species_Pterospora andromedea,84,10,74,11.904761904761903,1.0626992561105209,6.100577081615829,0.1741965131975759,3.661252723508501e-10,non-VCM,2.929002178806801e-09,True,-31.7814033691471,31.7814033691471
species_Rhododendron occidentale,92,24,68,26.08695652173913,2.5504782146652496,5.605935696619951,0.4549603050571982,0.0006852713380855887,non-VCM,0.0016243468754621362,True,-17.599208752169876,17.599208752169876
species_Ribes roezlii,119,37,82,31.092436974789916,3.9319872476089266,6.7600989282769985,0.5816464062621498,0.0054763694690155955,non-VCM,0.01130605309732252,True,-12.593728299119089,12.593728299119089
species_Rubus parviflorus,111,28,83,25.225225225225223,2.975557917109458,6.842539159109645,0.43486165704262325,7.368177648432234e-05,non-VCM,0.0002357816847498315,True,-18.46094004868378,18.46094004868378
species_Sarcodes sanguinea,98,17,81,17.346938775510203,1.8065887353878853,6.677658697444352,0.27054223901549446,5.5572100773961534e-08,non-VCM,3.2332858632123076e-07,True,-26.3392264983988,26.3392264983988
species_Sceloporus occidentalis,156,76,80,48.717948717948715,8.076514346439957,6.595218466611706,1.2246014877789586,0.22597877675124384,VCM,0.32139203804621347,False,5.031783444039711,5.031783444039711
species_Sciurus griseus,66,30,36,45.45454545454545,3.1880977683315623,2.967848309975268,1.0742118313850513,0.804647744837079,VCM,0.8442205847470993,False,1.7683801806364485,1.7683801806364485
species_Sedum spathulifolium,73,39,34,53.42465753424658,4.1445270988310305,2.8029678483099754,1.478620991435894,0.09926976798380777,VCM,0.14439238979462948,False,9.738492260337573,9.738492260337573
species_Silene laciniata,165,99,66,60.0,10.520722635494154,5.441055234954658,1.9335812964930923,2.8232374427300312e-05,VCM,0.00010038177574151222,True,16.313834726090995,16.313834726090995
species_Tamiasciurus douglasii,49,10,39,20.408163265306122,1.0626992561105209,3.215169002473207,0.3305267173492466,0.0008121034590520704,non-VCM,0.0018562364778333038,True,-23.278002008602883,23.278002008602883
species_Taricha sierrae,105,55,50,52.38095238095239,5.844845908607864,4.122011541632316,1.4179596174282678,0.07686827133265364,VCM,0.11758938422028654,False,8.694787107043382,8.694787107043382
species_Toxicodendron diversilobum,117,91,26,77.77777777777779,9.670563230605739,2.1434460016488046,4.511689691817216,7.489445852009853e-14,VCM,9.586490690572613e-13,True,34.09161250386878,34.09161250386878
species_Turdus migratorius,92,29,63,31.521739130434785,3.0818278427205104,5.193734542456719,0.5933741544793618,0.020437417939449858,non-VCM,0.0384704337683762,True,-12.16442614347422,12.16442614347422
species_Ursus americanus,96,24,72,25.0,2.5504782146652496,5.935696619950536,0.4296847325540205,0.00018483038306594873,non-VCM,0.0004928810215091966,True,-18.686165273909005,18.686165273909005
species_Verbascum thapsus,105,42,63,40.0,4.463336875664187,5.193734542456719,0.8593694651080411,0.4914898826090526,non-VCM,0.5719154997632612,False,-3.6861652739090047,3.6861652739090047
species_Viola lobata,156,21,135,13.461538461538462,2.2316684378320937,11.129431162407254,0.20051954185854295,5.278629635735788e-16,non-VCM,1.1261076556236347e-14,True,-30.224626812370545,30.224626812370545
species_Viola purpurea,90,20,70,22.22222222222222,2.1253985122210417,5.7708161582852435,0.36830119933201766,2.689679901762617e-05,non-VCM,0.00010038177574151222,True,-21.463943051686783,21.463943051686783
